simulation_time,location_id,junction_id,waiting_time,travel_time
43,location_1,K1,65.0957010487333,155.3717456729036
44,location_1,K1,46.84174818677028,181.7761195378078
45,location_1,K1,4.031971282691127,32.159364381280106
46,location_1,K1,87.97745721007132,98.54295076648071
47,location_1,K1,41.08695159744803,5.2378461754865935
48,location_1,K1,81.57541438521558,114.2305404016238
49,location_1,K1,78.67023287867517,62.40566286486469
50,location_1,K1,65.31047402573415,141.11100396333424
51,location_1,K1,48.92029663046038,28.39681664219771
52,location_1,K1,13.323043071569051,10.245572977781949
53,location_1,K1,9.168253523325198,10.295939502541152
54,location_1,K1,70.88214921889838,125.12997365582189
55,location_1,K1,83.39204285560079,109.98101467682886
56,location_1,K1,89.41424522623187,145.85443413066787
57,location_1,K1,6.026932943057672,157.11089551090276
58,location_1,K1,87.74815696436814,109.83029065828237
59,location_1,K1,11.900499813772146,87.25429119443871
0,location_1,K2,67.91325590731958,3.305230046893115
1,location_1,K2,0.6593067302652633,116.20620699048555
2,location_1,K2,86.35499069426699,31.52041954575855
3,location_1,K2,93.3162251530168,178.22246809689904
4,location_1,K2,24.57072281516637,87.40343634467649
5,location_1,K2,1.3063353996892513,116.72017157027788
6,location_1,K2,15.61810423172998,160.69177685418683
7,location_1,K2,57.38043084167855,29.51488914226148
8,location_1,K2,99.93855831056796,125.45972005373014
9,location_1,K2,88.29317233825418,66.4203001797145
10,location_1,K2,34.4721768911652,185.88845197305704
11,location_1,K2,85.16924288024934,183.6794213531728
12,location_1,K2,41.65633820261957,88.11551393173707
13,location_1,K2,20.059645931716886,61.74782266579941
14,location_1,K2,98.43840381689829,115.68077646171668
15,location_1,K2,33.064826986846306,130.21868153639878
16,location_1,K2,19.645164355294643,173.59996999365848
17,location_1,K2,83.8803858881463,11.426029711087327
18,location_1,K2,82.81890860079822,73.79192361553247
19,location_1,K2,38.57702698315278,112.77431077218216
20,location_1,K2,43.96053311616619,181.2088996825292
21,location_1,K2,66.02003727372156,197.60688865393163
22,location_1,K2,91.41343830389457,44.57661732212949
23,location_1,K2,20.60835877881589,121.62241125776345
24,location_1,K2,40.92841761509421,169.29855072912417
25,location_1,K2,22.35055154567236,90.79378599879348
26,location_1,K2,69.13698879819589,51.314606595474245
27,location_1,K2,27.79557714057237,114.2414070093166
28,location_1,K2,19.230422411680635,166.49371124768058
29,location_1,K2,54.01818429810572,86.91287837877411
30,location_1,K2,81.62211022858263,2.3098481278409637
31,location_1,K2,84.63600388835599,109.66386757403664
32,location_1,K2,37.87158444121993,192.62940155571212
33,location_1,K2,74.82679812896987,36.040541463258016
34,location_1,K2,19.500384260529813,109.03153717749744
35,location_1,K2,30.81682542302372,111.2893752338894
36,location_1,K2,3.019745488202563,174.84616196681517
37,location_1,K2,60.883662808563855,19.77539852710257
38,location_1,K2,50.15620239770254,119.2305243266384
39,location_1,K2,2.883074189769108,116.1335587087718
40,location_1,K2,10.914045614718171,13.660248030245192
41,location_1,K2,27.8976940059957,94.54572403931697
42,location_1,K2,10.1606991752913,49.616197435147
43,location_1,K2,7.614441646396242,125.88327017252035
44,location_1,K2,29.421779709416484,55.78624353197581
45,location_1,K2,18.39756554953268,59.747079442904095
46,location_1,K2,69.80902525277357,54.61851522258865
47,location_1,K2,84.59606423014996,143.28008550891397
48,location_1,K2,80.85701261501099,44.049510626368345
49,location_1,K2,56.148168083700135,115.46718937189137
50,location_1,K2,60.62172562914766,60.56050500681898
51,location_1,K2,8.552944213892077,155.78092499846576
52,location_1,K2,62.4343754739019,86.35822505746864
53,location_1,K2,78.01118491754842,16.282951641868838
54,location_1,K2,72.01634855615035,58.484962114341975
55,location_1,K2,69.39310451666807,7.7018132307015374
56,location_1,K2,70.88811297512585,105.88214275423104
57,location_1,K2,49.04911366961332,171.03122611897956
58,location_1,K2,42.63184380032398,150.1912444534524
59,location_1,K2,75.95858854853438,184.7536417455869
0,location_1,K3,13.873803613112624,139.53914608004615
1,location_1,K3,24.88132209829289,10.7187214265007
2,location_1,K3,81.94054977033032,125.50494285887612
3,location_1,K3,46.068285553306886,177.87740749284896
4,location_1,K3,51.09073302418178,167.82504040390836
5,location_1,K3,64.99134334785113,186.95097911908132
6,location_1,K3,40.49414972664972,83.79142779865785
7,location_1,K3,42.09615093650169,9.786788120947088
8,location_1,K3,16.653850638578515,97.88878737083056
9,location_1,K3,6.905137803144179,187.3381482358742
10,location_1,K3,18.621990008841927,158.69300926333554
11,location_1,K3,81.21306038898034,58.21127347574788
12,location_1,K3,42.22407479193786,128.33755915433932
13,location_1,K3,32.67496242132524,169.26564339145892
14,location_1,K3,12.22583847211931,0.6680896116987967
15,location_1,K3,99.07055664705824,173.87687990618403
16,location_1,K3,3.654038234703594,195.41462130619732
17,location_1,K3,29.829743633086785,45.5792392450328
18,location_1,K3,90.35776625528614,127.08656159444634
19,location_1,K3,87.21624810994369,114.79975769625808
20,location_1,K3,26.27566995415893,145.09568183326985
21,location_1,K3,52.58475364384489,5.691357231204219
22,location_1,K3,71.57668549290202,133.4136869807565
23,location_1,K3,56.63484288657264,43.76099697948968
24,location_1,K3,90.9801490781744,166.27425384752542
25,location_1,K3,16.783148472418763,46.07858436659716
26,location_1,K3,14.252465633833143,178.66782007506723
27,location_1,K3,71.54349824883792,195.9816128268616
28,location_1,K3,73.28873367893468,75.79722029431177
29,location_1,K3,50.11566166338836,52.13143537326268
30,location_1,K3,59.85902181766421,24.86066452903857
31,location_1,K3,18.71671767778385,9.781880184805946
32,location_1,K3,5.125256353600727,94.0685251688551
33,location_1,K3,34.77698772243626,7.86203856028993
34,location_1,K3,16.183959150582094,114.38065907858234
35,location_1,K3,27.098446255382942,37.02026127581368
36,location_1,K3,36.63750913862863,164.10832134209736
37,location_1,K3,84.2562922040296,55.73092889264335
38,location_1,K3,1.4750071098551865,85.90360963469917
39,location_1,K3,93.0746136712548,21.849962475559103
40,location_1,K3,39.09057997515165,127.04070216483608
41,location_1,K3,51.764293131685925,68.09570403272203
42,location_1,K3,88.22068368463555,74.62723578292632
43,location_1,K3,52.747702555443134,22.37948745959091
44,location_1,K3,26.67429337214945,2.901984109722755
45,location_1,K3,99.08174778378677,167.51088086628965
46,location_1,K3,67.45716112869341,108.00946553331036
47,location_1,K3,48.961892936908,25.659681705726435
48,location_1,K3,19.884891411175275,175.8980291690975
49,location_1,K3,3.887371238887327,143.65865493914924
50,location_1,K3,71.02047827640192,112.15764626782676
51,location_1,K3,3.539649546840773,81.4058847844808
52,location_1,K3,16.174224961619288,63.93595128899301
53,location_1,K3,87.61436367008531,53.43242466572615
54,location_1,K3,53.99561246937981,40.0766088675306
55,location_1,K3,45.79966556571515,156.61409389238202
56,location_1,K3,78.42554329245903,146.9408253110395
57,location_1,K3,22.779127608785487,43.65769840507711
58,location_1,K3,28.79379356475743,23.046330582175223
59,location_1,K3,94.40089254270404,134.04526617626644
