Remove-Item -Recurse -Force proposed_model\scripts\trainersimulation_time,location_id,junction_id,queue_length,downstream_queue_length
43,location_1,K2,4.94377879212181,5.986467320294091
44,location_1,K2,4.862711044681635,1.02914336119051
45,location_1,K2,6.326072585760159,3.936284674720712
46,location_1,K2,6.86686448064183,8.694134670488454
47,location_1,K2,6.008876096051404,7.625760554259806
48,location_1,K2,7.338296141488388,17.676095573159245
49,location_1,K2,7.047501870603978,8.323597754806297
50,location_1,K2,5.463621019761661,3.3784429679803663
51,location_1,K2,5.91067343597284,14.19912953174116
52,location_1,K2,5.336413784954061,17.417839589737206
53,location_1,K2,4.899504911950542,13.958342317622234
54,location_1,K2,3.073525308049812,4.913684568664262
55,location_1,K2,3.003248909169788,16.15594271924858
56,location_1,K2,2.034774444710803,4.314481199827513
57,location_1,K2,1.7091483161814234,1.45071354166048
58,location_1,K2,0.4318626261730044,2.658300740994335
59,location_1,K2,0.1625594065732643,18.519813871084548
0,location_1,K3,5.0,3.8896320005296703
1,location_1,K3,4.25341812483842,18.263661528594
2,location_1,K3,3.330788312146338,18.836979406935026
3,location_1,K3,5.391956799072001,3.626539841703112
4,location_1,K3,3.973614353330184,1.8716698193266976
5,location_1,K3,6.241700894596707,19.53325918677181
6,location_1,K3,6.926614558142311,5.863835127073909
7,location_1,K3,6.986521511833836,15.274772164988908
8,location_1,K3,7.558039706887495,5.057447936538548
9,location_1,K3,7.210562551275096,13.392423207906443
10,location_1,K3,4.67774037975266,18.46790189526455
11,location_1,K3,6.311454773841346,0.7404274794412324
12,location_1,K3,5.728161822520006,18.50503790344423
13,location_1,K3,6.839204693838272,12.734812324538565
14,location_1,K3,6.37012091633536,12.815426449746624
15,location_1,K3,6.338809540355192,3.016136956209305
16,location_1,K3,5.779558376427635,13.779105767889702
17,location_1,K3,3.728816291950373,0.8209816096382427
18,location_1,K3,3.4873593291210256,17.1446706053679
19,location_1,K3,4.775422301510847,10.653688181957016
20,location_1,K3,5.82048986910231,16.58461850294762
21,location_1,K3,6.509708526844266,10.153694247031432
22,location_1,K3,8.027589467514105,1.564806244430701
23,location_1,K3,8.348110826860298,16.86896450441261
24,location_1,K3,7.561241051711014,0.8190891146968227
25,location_1,K3,7.24655994605432,13.754853938502992
26,location_1,K3,10.755456130494466,14.93835327851113
27,location_1,K3,11.581148098532491,5.7916519140565
28,location_1,K3,11.68411364023622,7.358754445197356
29,location_1,K3,12.360331901899794,13.92423014326999
30,location_1,K3,9.984376225686765,7.746823738122231
31,location_1,K3,8.936467027555512,17.974176151910807
32,location_1,K3,8.770419229279682,17.409214778826104
33,location_1,K3,8.585953964241614,5.277451709890382
34,location_1,K3,7.316979764716319,4.692391336226787
35,location_1,K3,7.365989385982197,9.216590747985208
36,location_1,K3,6.838203347460693,5.316943785462902
37,location_1,K3,3.8638731740131074,8.503260769226312
38,location_1,K3,6.578499131687036,15.96139234754206
39,location_1,K3,5.244958874254605,8.052966665216372
40,location_1,K3,1.6018717608454518,18.60585658622479
41,location_1,K3,3.530831358063818,3.219545741271046
42,location_1,K3,5.026596173199799,7.685308977549172
43,location_1,K3,5.036680997238736,17.92343735313263
44,location_1,K3,4.414499627530603,17.090916476653803
45,location_1,K3,4.288161859790968,2.4672777745254537
46,location_1,K3,6.867040214634362,18.4859222097043
47,location_1,K3,5.607278062617635,12.69038950575011
48,location_1,K3,3.6065909597193935,8.253291251998704
49,location_1,K3,3.6433752711965335,9.76406516041193
50,location_1,K3,4.273836908492846,2.363088008835057
51,location_1,K3,4.769698867290632,18.74871632494182
52,location_1,K3,5.573615028049262,19.860512399257424
53,location_1,K3,2.998056777161258,3.4643665867897733
54,location_1,K3,2.485097720921331,15.0005074245303
55,location_1,K3,1.7424819207919562,11.766182817030373
56,location_1,K3,0.0376560534616164,0.0019870446297476
57,location_1,K3,0.141858556967301,8.59506226632211
58,location_1,K3,2.545382146344099,14.019261844940743
59,location_1,K3,3.848037775889696,11.579122440389693
